Z daughter, A daughter, element daughter, Z parent, A parent, element parent, daughter level idx, independent thermal fy, unc, independent fast fy, unc, independent 14MeV fy, unc,Extraction_date
34,81,Se,93,237,Np,0,0.000011583,0.0000042313,0.0000070244,0.0000025305,,,2024-11-18
34,81,Se,93,237,Np,1,0.000075772,0.000027679,0.000052758,0.000019005,,,2024-11-18
34,82,Se,93,237,Np,0,0.00060233,0.00020141,0.00047705,0.00015997,,,2024-11-18
34,83,Se,93,237,Np,0,0.0014638,0.00041559,0.0012948,0.00034707,,,2024-11-18
34,83,Se,93,237,Np,1,0.00033847,0.000096095,0.0002607,0.000069881,,,2024-11-18
34,84,Se,93,237,Np,0,0.0046401,0.00086394,0.0045544,0.0006281,,,2024-11-18
34,85,Se,93,237,Np,0,0.0062892,0.00098966,0.0057781,0.0007972,,,2024-11-18
34,86,Se,93,237,Np,0,0.0060766,0.0015363,0.0062609,0.0011611,,,2024-11-18
34,87,Se,93,237,Np,0,0.0028374,0.0010399,0.0033977,0.0010463,,,2024-11-18
34,88,Se,93,237,Np,0,0.0011325,0.00039125,0.0014798,0.00051178,,,2024-11-18
34,89,Se,93,237,Np,0,0.00020555,0.000069798,0.00024569,0.00008861,,,2024-11-18
34,90,Se,93,237,Np,0,0.000024994,0.0000088008,0.000044367,0.000016023,,,2024-11-18
34,91,Se,93,237,Np,0,0.0000013824,0.0000005046,0.000003071,0.0000011056,,,2024-11-18
34,92,Se,93,237,Np,0,0.00000005463,0.000000020663,0.00000014721,0.000000053948,,,2024-11-18
34,93,Se,93,237,Np,0,0.0000000010504,0.00000000036451,0.0000000030012,0.0000000011077,,,2024-11-18
34,94,Se,93,237,Np,0,0.00000000001485,0.0000000000050423,0.000000000049976,0.000000000017544,,,2024-11-18
35,79,Br,93,237,Np,0,0.000000000025463,0.000000000010055,0.000000000011765,0.0000000000044379,,,2024-11-18
35,79,Br,93,237,Np,1,0.000000000083307,0.000000000032898,0.000000000044555,0.000000000016806,,,2024-11-18
35,80,Br,93,237,Np,0,0.0000000016322,0.00000000064283,0.00000000085213,0.00000000032518,,,2024-11-18
35,80,Br,93,237,Np,2,0.0000000049253,0.0000000019399,0.0000000029691,0.000000001133,,,2024-11-18
35,81,Br,93,237,Np,0,0.00000032231,0.00000012038,0.00000020077,0.000000072951,,,2024-11-18
35,82,Br,93,237,Np,0,0.0000046269,0.0000016927,0.0000034009,0.0000011968,,,2024-11-18
35,82,Br,93,237,Np,1,0.0000019754,0.00000072269,0.0000012477,0.00000043908,,,2024-11-18
35,83,Br,93,237,Np,0,0.000093648,0.00003303,0.00006703,0.000023598,,,2024-11-18
35,84,Br,93,237,Np,0,0.0002978,0.000098305,0.00025024,0.000084055,,,2024-11-18
35,84,Br,93,237,Np,1,0.0002978,0.000098305,0.00025024,0.000084055,,,2024-11-18
35,85,Br,93,237,Np,0,0.0031212,0.00080074,0.0023564,0.00065464,,,2024-11-18
35,86,Br,93,237,Np,0,0.0074244,0.00159,0.0059771,0.0011543,,,2024-11-18
35,87,Br,93,237,Np,0,0.012794,0.0018353,0.011848,0.0015025,,,2024-11-18
35,88,Br,93,237,Np,0,0.0111,0.0020705,0.012086,0.0019776,,,2024-11-18
35,89,Br,93,237,Np,0,0.0077654,0.0018831,0.0079882,0.0018993,,,2024-11-18
35,90,Br,93,237,Np,0,0.0022455,0.0007125,0.0036525,0.0011388,,,2024-11-18
35,91,Br,93,237,Np,0,0.00052748,0.00018673,0.0010801,0.0003733,,,2024-11-18
35,92,Br,93,237,Np,0,0.000060291,0.000022714,0.00014922,0.000054368,,,2024-11-18
35,93,Br,93,237,Np,0,0.0000056212,0.0000019501,0.000014701,0.0000054229,,,2024-11-18
35,94,Br,93,237,Np,0,0.00000023175,0.000000078689,0.00000071192,0.00000024991,,,2024-11-18
35,95,Br,93,237,Np,0,0.0000000077255,0.000000002667,0.000000027048,0.0000000095854,,,2024-11-18
35,96,Br,93,237,Np,0,0.00000000011936,0.000000000043112,0.00000000045063,0.0000000001622,,,2024-11-18
35,97,Br,93,237,Np,0,0.0000000000013236,0.00000000000051553,0.0000000000070693,0.0000000000025877,,,2024-11-18
36,80,Kr,93,237,Np,0,0,0,0,0,,,2024-11-18
36,81,Kr,93,237,Np,0,0.000000000071211,0.000000000026601,0.000000000022206,0.0000000000080692,,,2024-11-18
36,81,Kr,93,237,Np,2,0.000000000010886,0.0000000000040664,0.0000000000029566,0.0000000000010744,,,2024-11-18
36,82,Kr,93,237,Np,0,0.0000000079784,0.0000000029216,0.0000000027833,0.00000000097986,,,2024-11-18
36,83,Kr,93,237,Np,0,0.00000026859,0.000000095474,0.000000098398,0.000000034908,,,2024-11-18
36,83,Kr,93,237,Np,2,0.000000062105,0.000000022076,0.000000019812,0.0000000070286,,,2024-11-18
36,84,Kr,93,237,Np,0,0.0000093452,0.0000032278,0.0000040007,0.0000014022,,,2024-11-18
36,85,Kr,93,237,Np,0,0.00010123,0.000033932,0.000042229,0.000014778,,,2024-11-18
36,85,Kr,93,237,Np,1,0.000023407,0.0000078459,0.0000085027,0.0000029756,,,2024-11-18
36,86,Kr,93,237,Np,0,0.0010686,0.00038401,0.00051081,0.00017805,,,2024-11-18
36,87,Kr,93,237,Np,0,0.0036004,0.0013269,0.0023541,0.00081727,,,2024-11-18
36,88,Kr,93,237,Np,0,0.010061,0.0022577,0.008146,0.0019288,,,2024-11-18
36,89,Kr,93,237,Np,0,0.017717,0.0033558,0.012697,0.0024067,,,2024-11-18
36,90,Kr,93,237,Np,0,0.022073,0.0038887,0.022398,0.002631,,,2024-11-18
36,91,Kr,93,237,Np,0,0.013224,0.0034373,0.01731,0.0033975,,,2024-11-18
36,92,Kr,93,237,Np,0,0.0072436,0.002421,0.010369,0.0028199,,,2024-11-18
36,93,Kr,93,237,Np,0,0.0020592,0.00069889,0.0028265,0.00097691,,,2024-11-18
36,94,Kr,93,237,Np,0,0.00037953,0.00012822,0.00059412,0.00020551,,,2024-11-18
36,95,Kr,93,237,Np,0,0.00003658,0.000012621,0.000064655,0.000022874,,,2024-11-18
36,96,Kr,93,237,Np,0,0.0000025734,0.00000092947,0.0000048835,0.0000017576,,,2024-11-18
36,97,Kr,93,237,Np,0,0.000000081297,0.000000031664,0.00000021765,0.000000079668,,,2024-11-18
36,98,Kr,93,237,Np,0,0.0000000025301,0.00000000089842,0.000000006746,0.0000000024228,,,2024-11-18
36,99,Kr,93,237,Np,0,0.000000000035928,0.000000000011764,0.00000000012802,0.000000000042168,,,2024-11-18
37,83,Rb,93,237,Np,0,0.0000000000075275,0.0000000000026758,0.0000000000021724,0.0000000000007707,,,2024-11-18
37,83,Rb,93,237,Np,2,0.000000000018172,0.0000000000064598,0.0000000000060784,0.0000000000021564,,,2024-11-18
37,84,Rb,93,237,Np,0,0.00000000077734,0.00000000026858,0.00000000027163,0.000000000095229,,,2024-11-18
37,84,Rb,93,237,Np,2,0.0000000013983,0.00000000048311,0.00000000056986,0.00000000019978,,,2024-11-18
37,85,Rb,93,237,Np,0,0.0000001366,0.000000045989,0.000000050553,0.000000017747,,,2024-11-18
37,86,Rb,93,237,Np,0,0.0000012222,0.00000044816,0.0000004772,0.00000017051,,,2024-11-18
37,86,Rb,93,237,Np,2,0.0000021984,0.00000080614,0.0000010011,0.0000003577,,,2024-11-18
37,87,Rb,93,237,Np,0,0.000057243,0.000022222,0.000031036,0.000011691,,,2024-11-18
